Issuer Name;Ticker;Cpn;Maturity;Series;BBG Composite;Mty Type;Currency;Yld to Mty (Bid);Ask Convexity;Bid Convexity;Next Cpn Dt;Mty (Years Frm Tdy);1st Cpn Pd Typ;Coupon Type
Banco Davivienda SA;DAVIVI;17.992448;28/09/2026;C120;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;28/06/2023;3.419575633;Normal;FLOATING
Transelca SA ESP;TRANSE;18.417632;11/10/2026;A15;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;11/07/2023;3.455167693;Normal;FLOATING
Banco Popular SA;BCOPOP;18.020942;12/10/2026;C10;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;13/07/2023;3.457905544;Normal;FLOATING
Itau Corpbanca Colombia SA;SANCOL;15.924152;16/10/2026;C;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;16/07/2023;3.468856947;Normal;FLOATING
Corp Financiera Colombiana SA;CFV;16.62686;20/10/2026;A5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;20/07/2023;3.47980835;Normal;FLOATING
Bancolombia SA;BCOLO;18.576308;2/11/2026;D15;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;2/05/2023;3.515400411;Normal;FLOATING
Banco Popular SA;BCOPOP;17.07785;11/11/2026;C5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;11/05/2023;3.540041068;Normal;FLOATING
Banco Davivienda SA;DAVIVI;17.089175;15/11/2026;C96;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;15/05/2023;3.550992471;Normal;FLOATING
Banco GNB Sudameris SA;GNBSUD;17.836625;22/11/2026;B2;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;23/05/2023;3.570157426;Normal;FLOATING
Grupo Aval Acciones y Valores SA;AVALCB;17.62145;24/11/2026;A10;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;24/05/2023;3.575633128;Normal;FLOATING
Instituto Colombiano de Credito Educativo y Estudios Tecnicos en el Exterior;ICCEE;17.460032;15/12/2026;C5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;15/06/2023;3.633127995;Normal;FLOATING
Geopark Ltd;GEOPAR;5.5;17/01/2027;REGS;B+;CALLABLE;USD;11.16048699;0.121141619;0.120843936;17/07/2023;3.72347707;Normal;FIXED
Geopark Ltd;GEOPAR;5.5;17/01/2027;144A;B+;CALLABLE;USD;11.20721077;0.121086526;0.12077313;17/07/2023;3.72347707;Normal;FIXED
Banco Popular SA;BCOPOP;6.29;4/02/2027;B;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;4/05/2023;3.772758385;Normal;FIXED
Banco Davivienda SA;DAVIVI;6.24;11/02/2027;F;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;11/05/2023;3.79192334;Normal;FIXED
Colombia Government International Bond;COLOM;8.375;15/02/2027;#N/A Field Not Applicable;BB+;AT MATURITY;USD;7.891019482;0.124122579;0.123915823;15/08/2023;3.802874743;Short First;FIXED
Banco Serfinanzas SA;BSERCO;6.59;19/02/2027;A;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;19/05/2023;3.813826146;Normal;FIXED
Banco Popular SA;BCOPOP;17.629952;10/03/2027;C5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;10/06/2023;3.865845311;Normal;FLOATING
Colombian TES;COLTES;3.3;17/03/2027;UVR;NR;AT MATURITY;COP;4.562811645;0.162267891;0.161721236;17/03/2024;3.885010267;Normal;FIXED
Empresas Publicas de Medellin ESP;EEPPME;17.782928;19/03/2027;A12;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;19/06/2023;3.890485969;Normal;FLOATING
